author,birthDate,birthPlace
Henri Barbusse,1873-05-17T00:00:00Z,Asnières-sur-Seine
Pierre Carnac,1921-07-19T00:00:00Z,Piatra Neamț
Jean Venturini,1919-09-17T00:00:00Z,Nabeul
Hubert Rouger,1875-10-06T00:00:00Z,Calvisson
Oscar Wilde,1854-10-16T00:00:00Z,Dublin
Maurice Alhoy,1802-01-01T00:00:00Z,Paris
Henry Murger,1822-03-27T00:00:00Z,ancien 2e arrondissement de Paris
Daniel Yvinec,1963-01-01T00:00:00Z,Vannes
Jean d'Esme,1893-09-23T00:00:00Z,Shanghaï
Maryline Desbiolles,1959-05-21T00:00:00Z,Ugine
Marcel Boulenger,1873-09-09T00:00:00Z,Paris
Marcel Boulenger,1873-09-09T00:00:00Z,8e arrondissement de Paris
Jules Verne,1828-02-08T00:00:00Z,Nantes
Albert Camus,1913-11-07T00:00:00Z,Dréan
Brigitte Bardot,1934-09-28T00:00:00Z,15e arrondissement de Paris
Christophe Bataille,1971-10-14T00:00:00Z,Versailles
Alexandre Dumas,1802-07-24T00:00:00Z,Villers-Cotterêts
Antoine Lavoisier,1743-08-26T00:00:00Z,Paris
Rodolphe Töpffer,1799-01-31T00:00:00Z,Genève
Anne Moreau-Vagnon,1966-01-01T00:00:00Z,Antony
Pierre Abélard,1079-01-01T00:00:00Z,Le Pallet
Chrétien de Troyes,1135-01-01T00:00:00Z,Troyes
Albert d'Aix,1060-01-01T00:00:00Z,Rhénanie
Arnaut Daniel,1150-01-01T00:00:00Z,Ribérac
Sarah Bernhardt,1844-10-23T00:00:00Z,Paris
Le Corbusier,1887-10-06T00:00:00Z,La Chaux-de-Fonds
Léon d'Hervey de Saint-Denys,1822-05-06T00:00:00Z,Paris
Jean Bodel,1165-01-01T00:00:00Z,Arras
Hugues Primat,1093-01-01T00:00:00Z,Orléans
Hugues Primat,1095-01-01T00:00:00Z,Orléans
Rigord,http://www.wikidata.org/.well-known/genid/899ce726faac7f01df527f97afa85c70,Languedoc
Eudes de Deuil,1110-01-01T00:00:00Z,Deuil-la-Barre
Gautier d'Arras,1135-01-01T00:00:00Z,Arras
Héloïse d'Argenteuil,1101-01-01T00:00:00Z,Paris
Conon de Béthune,1150-01-01T00:00:00Z,Artois
Adolphe Thiers,1797-04-15T00:00:00Z,Marseille
Pierre-Joseph Proudhon,1809-01-15T00:00:00Z,Besançon
Anna de Noailles,1876-11-15T00:00:00Z,7e arrondissement de Paris
James Joyce,1882-02-02T00:00:00Z,Dublin
James Joyce,1882-02-02T00:00:00Z,Rathgar
Julien Offray de La Mettrie,1709-12-12T00:00:00Z,Saint-Malo
Julien Offray de La Mettrie,1709-12-25T00:00:00Z,Saint-Malo
Paul Henri Thiry d’Holbach,1723-12-08T00:00:00Z,Edesheim
Michel Audiard,1920-05-15T00:00:00Z,14e arrondissement de Paris
Simone de Beauvoir,1908-01-09T00:00:00Z,6e arrondissement de Paris
Marcel Proust,1871-07-10T00:00:00Z,16e arrondissement de Paris
Napoléon III,1808-04-20T00:00:00Z,Paris
Louis Bonaparte,1778-09-02T00:00:00Z,Ajaccio
Boris Vian,1920-03-10T00:00:00Z,Ville-d'Avray
Alfred Jarry,1873-09-08T00:00:00Z,Laval
Voltaire,1694-11-21T00:00:00Z,Paris
René Descartes,1596-03-31T00:00:00Z,Descartes
Guy de Maupassant,1850-08-05T00:00:00Z,Tourville-sur-Arques
Jean-Paul Sartre,1905-06-21T00:00:00Z,Paris
Honoré de Balzac,1799-05-20T00:00:00Z,Tours
Yann-Fañch Kemener,1957-04-07T00:00:00Z,Saint-Brieuc
Anne Cuneo,1936-09-06T00:00:00Z,Paris
James Guillaume,1844-02-16T00:00:00Z,Londres
Alexandre Voisard,1930-09-14T00:00:00Z,Porrentruy
Jacques Arago,1790-03-10T00:00:00Z,Estagel
Edmond Kaiser,1914-01-02T00:00:00Z,Paris
Auguste Viatte,1901-06-27T00:00:00Z,Porrentruy
Jacques Neirynck,1931-08-17T00:00:00Z,Uccle
Colette Peignot,1903-10-08T00:00:00Z,Meudon
August Hermann Ewerbeck,1816-11-12T00:00:00Z,Gdańsk
Alfred Kantorowicz,1899-08-12T00:00:00Z,Berlin
Adolphe Joanne,1813-09-15T00:00:00Z,Dijon
Gabrielle Bossis,1874-02-26T00:00:00Z,Nantes
Lucien Bonaparte,1775-05-21T00:00:00Z,Ajaccio
André Malraux,1901-11-03T00:00:00Z,18e arrondissement de Paris
Louis-Ferdinand Céline,1894-05-27T00:00:00Z,Courbevoie
Joséphine Baker,1906-06-03T00:00:00Z,Saint-Louis
Paul Éluard,1895-12-14T00:00:00Z,Saint-Denis
Robert Capa,1913-10-22T00:00:00Z,Budapest
Emmanuel Levinas,1906-01-12T00:00:00Z,Kaunas
Marguerite Duras,1914-04-04T00:00:00Z,Gia Định
Jean Arp,1886-09-16T00:00:00Z,Strasbourg
Paul Celan,1920-11-23T00:00:00Z,Tchernivtsi
Louis-Antoine de Bougainville,1729-11-12T00:00:00Z,Paris
Gabriel Marcel,1889-12-07T00:00:00Z,8e arrondissement de Paris
François Arago,1786-02-26T00:00:00Z,Estagel
Léopold Sédar Senghor,1906-10-09T00:00:00Z,Joal-Fadiouth
Julien Benda,1867-12-26T00:00:00Z,Paris
Pierre Boulez,1925-03-26T00:00:00Z,Montbrison
Nadar,1820-04-06T00:00:00Z,rue Saint-Honoré
J. M. G. Le Clézio,1940-04-13T00:00:00Z,Nice
Henri Bergson,1859-10-18T00:00:00Z,Paris
Sully Prudhomme,1839-03-16T00:00:00Z,10ᵉ arrondissement de Paris
Anatole France,1844-04-16T00:00:00Z,Paris
Frédéric Mistral,1830-09-08T00:00:00Z,Maillane
Gustave Flaubert,1821-12-12T00:00:00Z,Rouen
Bernard Comment,1960-04-20T00:00:00Z,Porrentruy
Jérôme Ferrari,1968-01-01T00:00:00Z,Paris
Heinrich Heine,1797-12-13T00:00:00Z,Düsseldorf
Pierre-Simon de Laplace,1749-03-23T00:00:00Z,Beaumont-en-Auge
André Vingt-Trois,1942-11-07T00:00:00Z,14e arrondissement de Paris
Jacques Maritain,1882-11-18T00:00:00Z,9e arrondissement de Paris
Ivan Bounine,1870-10-22T00:00:00Z,Voronej
Romain Rolland,1866-01-29T00:00:00Z,Clamecy
André Gide,1869-11-22T00:00:00Z,Paris
Nestor Makhno,1888-11-07T00:00:00Z,Houliaïpole
Eva Illouz,1961-04-30T00:00:00Z,Fès
Pierre Clostermann,1921-02-28T00:00:00Z,Curitiba
Georges Feydeau,1862-12-08T00:00:00Z,rue de Clichy
Marivaux,1688-02-04T00:00:00Z,Paris
Jean de La Fontaine,1621-07-08T00:00:00Z,Château-Thierry
Sunsiaré de Larcône,1935-06-28T00:00:00Z,Rambervillers
Roger Nimier,1925-10-31T00:00:00Z,Paris
Pierre de Ronsard,1524-09-21T00:00:00Z,château de la Possonnière
Peter Brook,1925-03-21T00:00:00Z,Chiswick
François-René de Chateaubriand,1768-09-04T00:00:00Z,Saint-Malo
Louis Leroy,1812-07-11T00:00:00Z,ancien 1er arrondissement de Paris
Jean Renoir,1894-09-15T00:00:00Z,18e arrondissement de Paris
Éric Rohmer,1920-03-21T00:00:00Z,Tulle
Georges Courteline,1858-06-25T00:00:00Z,Tours
Roman Polanski,1933-08-18T00:00:00Z,Paris
Colette Audry,1906-07-06T00:00:00Z,Orange
François Truffaut,1932-02-06T00:00:00Z,17e arrondissement de Paris
Françoise Hardy,1944-01-17T00:00:00Z,9e arrondissement de Paris
Jean Ferrat,1930-12-26T00:00:00Z,Vaucresson
Mohsen Makhmalbaf,1957-05-29T00:00:00Z,Téhéran
René Clair,1898-11-11T00:00:00Z,Paris
Henri Verneuil,1920-10-15T00:00:00Z,Tekirdağ
Aleksander Borejko Chodźko,1804-08-30T00:00:00Z,Kryvičy
Alfred Döblin,1878-08-10T00:00:00Z,Szczecin
Georg Forster,1754-11-27T00:00:00Z,Mokry Dwór
Marcel Arland,1899-07-05T00:00:00Z,Varennes-sur-Amance
Jenny d’Héricourt,1809-09-10T00:00:00Z,Besançon
René Depestre,1926-08-29T00:00:00Z,Jacmel
Jeremy Bentham,1748-02-15T00:00:00Z,Londres
Jeremy Bentham,1748-02-15T00:00:00Z,Houndsditch
Erwin Piscator,1893-12-17T00:00:00Z,Greifenstein
Erwin Piscator,1893-12-17T00:00:00Z,Ulm
Zinaïda Hippius,1869-11-20T00:00:00Z,Beliov
Jules Oppert,1825-07-09T00:00:00Z,Hambourg
Alois Kayser,1877-03-29T00:00:00Z,Lupstein
Gisèle Freund,1908-12-19T00:00:00Z,Berlin-Schöneberg
Nicolas Rémy,1530-01-01T00:00:00Z,Charmes
Carl Einstein,1885-04-26T00:00:00Z,Neuwied
Daniel-Henry Kahnweiler,1884-06-25T00:00:00Z,Mannheim
Humbert de Moyenmoutier,1000-01-01T00:00:00Z,Lotharingie
Jean-Pol Martin,1943-04-10T00:00:00Z,Paris
René Schickele,1883-08-04T00:00:00Z,Obernai
Peter Scholl-Latour,1924-03-09T00:00:00Z,Bochum
Wilhelm Uhde,1874-10-28T00:00:00Z,Strzelce Krajeńskie
Annette Kolb,1870-02-03T00:00:00Z,Munich
Claire Goll,1891-10-29T00:00:00Z,Nuremberg
Alfred Neumann,1895-10-15T00:00:00Z,Lidzbark
Jules Mohl,1800-10-25T00:00:00Z,Stuttgart
Hans-Joachim Klein,1947-12-21T00:00:00Z,Francfort-sur-le-Main
Xavier Haegy,1870-12-02T00:00:00Z,Hirsingue
Charles Koechlin,1867-11-27T00:00:00Z,16e arrondissement de Paris
Romuald Karmakar,1965-02-15T00:00:00Z,Wiesbaden
Bodo Uhse,1904-03-12T00:00:00Z,Rastatt
Christian de La Mazière,1922-08-22T00:00:00Z,Tours
Alexander Büchner,1827-10-25T00:00:00Z,Darmstadt
Charles-Frédéric Reinhard,1761-10-02T00:00:00Z,Schorndorf
André Bellessort,1866-03-19T00:00:00Z,Laval
Alfred Grosser,1925-02-01T00:00:00Z,Francfort-sur-le-Main
Georges-Bernard Depping,1784-05-11T00:00:00Z,Münster
Siegfried Kracauer,1889-02-08T00:00:00Z,Francfort-sur-le-Main
Joseph Derenbourg,1811-08-21T00:00:00Z,Mayence
Maurice de Saxe,1696-10-28T00:00:00Z,Goslar
Lion Feuchtwanger,1884-07-07T00:00:00Z,Munich
Theodor Plievier,1892-02-12T00:00:00Z,Berlin
Théophile Conrad Pfeffel,1736-06-28T00:00:00Z,Colmar
Stephan Hermlin,1915-04-13T00:00:00Z,Chemnitz
Richard Coudenhove-Kalergi,1894-11-16T00:00:00Z,Ville de Tokyo
Charles-Louis de Ficquelmont,1777-03-23T00:00:00Z,Dieuze
Manès Sperber,1905-12-12T00:00:00Z,Zabolotiv
Emma Goldman,1869-06-27T00:00:00Z,Kaunas
Joseph-Louis Lagrange,1736-01-25T00:00:00Z,Turin
Jacques-André Bertrand,1946-12-29T00:00:00Z,Annonay
Henri Poincaré,1854-04-29T00:00:00Z,Nancy
François Mauriac,1885-10-11T00:00:00Z,Bordeaux
Christopher Tolkien,1924-11-21T00:00:00Z,Leeds
Jean-Baptiste de Lamarck,1744-08-01T00:00:00Z,Bazentin
Claude-Henri de Rouvroy de Saint-Simon,1760-10-17T00:00:00Z,Paris
Pierre de Coubertin,1863-01-01T00:00:00Z,7e arrondissement de Paris
Jean Cocteau,1889-07-05T00:00:00Z,Maisons-Laffitte
Jacques-Yves Cousteau,1910-06-11T00:00:00Z,Saint-André-de-Cubzac
Hervé Guibert,1955-12-14T00:00:00Z,Saint-Cloud
André Gorz,1923-02-09T00:00:00Z,Vienne
Axel Corti,1933-05-07T00:00:00Z,Boulogne-Billancourt
Sylvie Goulard,1964-12-06T00:00:00Z,Marseille
Mongo Beti,1932-06-30T00:00:00Z,Mbalmayo
Guy Étienne,1928-09-18T00:00:00Z,Saint-Carreuc
Abeozen,1896-02-20T00:00:00Z,Saint-Sauveur
Yves Bonnefoy,1923-06-24T00:00:00Z,Tours
Maurice Scève,1501-01-01T00:00:00Z,Lyon
Alice Rahon,1904-06-08T00:00:00Z,Chenecey-Buillon
Michel Le Nobletz,1577-10-09T00:00:00Z,Plouguerneau
Auguste Brizeux,1803-09-12T00:00:00Z,Lorient
Dominique Aury,1907-09-23T00:00:00Z,Rochefort
Marie d’Agoult,1805-12-31T00:00:00Z,Francfort-sur-le-Main
Hélène Grimaud,1969-11-07T00:00:00Z,Aix-en-Provence
Hucbald de Saint-Amand,0840-01-01T00:00:00Z,Tournai
Flora Tristan,1803-04-07T00:00:00Z,Paris
Jean Fernand-Lafargue,1856-02-20T00:00:00Z,Bordeaux
Marie Bashkirtseff,1858-11-24T00:00:00Z,Havrontsi
Marie Bashkirtseff,1860-11-23T00:00:00Z,Havrontsi
Auguste Anicet-Bourgeois,1806-12-23T00:00:00Z,Paris
Jean Bruce,1921-03-22T00:00:00Z,Aillières-Beauvoir
André Jullien,1766-11-10T00:00:00Z,Chalon-sur-Saône
Émile Augier,1820-09-17T00:00:00Z,Valence
Lucien Tesnière,1893-05-13T00:00:00Z,Mont-Saint-Aignan
Frédéric Mitterrand,1947-08-21T00:00:00Z,16e arrondissement de Paris
Théodore Aubanel,1829-03-26T00:00:00Z,Avignon
Timothée de Fombelle,1973-04-17T00:00:00Z,Paris
Sophie Calle,1953-10-09T00:00:00Z,Paris
Narcisse Fournier,1803-11-24T00:00:00Z,Paris
Marcel Boulestin,1878-01-01T00:00:00Z,Poitiers
Isabelle d'Orléans-Bragance,1911-08-13T00:00:00Z,château d'Eu
Elena Poniatowska,1932-05-19T00:00:00Z,Paris
Elena Poniatowska,1932-05-19T00:00:00Z,16e arrondissement de Paris
Elena Poniatowska,1933-01-01T00:00:00Z,Paris
Elena Poniatowska,1933-01-01T00:00:00Z,16e arrondissement de Paris
Sheila,1945-08-16T00:00:00Z,Créteil
Hortense Mancini,1646-06-06T00:00:00Z,Rome
Marie-Anne Lenormand,1772-05-27T00:00:00Z,Alençon
Nicolas Oudinot,1791-11-03T00:00:00Z,Bar-le-Duc
Nicolas Oudinot,1791-11-09T00:00:00Z,Bar-le-Duc
Blaise de Vigenère,1523-04-15T00:00:00Z,Saint-Pourçain-sur-Sioule
Paul-Armand Gette,1927-05-13T00:00:00Z,7e arrondissement de Lyon
Monique Wittig,1935-07-13T00:00:00Z,Dannemarie
Anne Golon,1921-12-17T00:00:00Z,Toulon
Gaston Rébuffat,1921-05-07T00:00:00Z,Marseille
Alejandro Jodorowsky,1929-02-17T00:00:00Z,Iquique
Alejandro Jodorowsky,1929-02-17T00:00:00Z,Tocopilla
Émile Bernard,1868-04-28T00:00:00Z,Lille
Louise d'Épinay,1726-03-11T00:00:00Z,Valenciennes
Arthur de Gobineau,1816-07-14T00:00:00Z,Ville-d'Avray
Nadine Trintignant,1934-11-11T00:00:00Z,Nice
Jean Desmarets de Saint-Sorlin,1595-01-01T00:00:00Z,Paris
Raoul de Caen,1080-01-01T00:00:00Z,Caen
Alain-René Lesage,1668-05-06T00:00:00Z,Sarzeau
Anna Laetitia Barbauld,1743-06-20T00:00:00Z,Kibworth Harcourt
Han Ryner,1861-12-07T00:00:00Z,Nemours
Alain Mabanckou,1966-02-24T00:00:00Z,Pointe-Noire
Catherine de Bourbon,1559-02-17T00:00:00Z,Paris
Christiane Taubira,1952-02-02T00:00:00Z,Cayenne
Marie-Thérèse Rodet Geoffrin,1695-06-26T00:00:00Z,Paris
Dương Thu Hương,1947-01-01T00:00:00Z,Thái Bình
Olivia Ruiz,1980-01-01T00:00:00Z,Carcassonne
Savitri Devi,1905-09-30T00:00:00Z,2e arrondissement de Lyon
Juliette Adam,1836-10-04T00:00:00Z,Verberie
Danielle Mitterrand,1924-10-29T00:00:00Z,Verdun
Susan George,1934-06-29T00:00:00Z,Akron
Gaston Bachelard,1884-06-27T00:00:00Z,Bar-sur-Aube
Marie de Clèves,1426-09-28T00:00:00Z,duché de Clèves
Isabelle Eberhardt,1877-02-17T00:00:00Z,Genève
Étienne Bonnot de Condillac,1714-09-30T00:00:00Z,Grenoble
Marlène Jobert,1940-11-04T00:00:00Z,Alger
Laure Junot d’Abrantès,1784-11-06T00:00:00Z,Montpellier
Eugène Viollet-le-Duc,1814-01-27T00:00:00Z,ancien 2e arrondissement de Paris
Benoîte Groult,1920-01-31T00:00:00Z,8e arrondissement de Paris
María Luisa Bombal,1909-01-01T00:00:00Z,Viña del Mar
María Luisa Bombal,1910-06-08T00:00:00Z,Viña del Mar
Sophie Gay,1776-07-01T00:00:00Z,Paris
James Baldwin,1924-08-02T00:00:00Z,Harlem
Dominique Manotti,1942-12-24T00:00:00Z,Paris
Valentine de Saint-Point,1875-02-16T00:00:00Z,2e arrondissement de Lyon
François de La Rochefoucauld,1613-09-15T00:00:00Z,Paris
Édika,1940-12-17T00:00:00Z,Héliopolis
Stéphane Hessel,1917-10-20T00:00:00Z,Berlin
Jacques Prévert,1900-02-04T00:00:00Z,Neuilly-sur-Seine
Carlo Goldoni,1707-02-25T00:00:00Z,Venise
Jean XXII,1244-01-01T00:00:00Z,Cahors
Oxmo Puccino,1974-08-03T00:00:00Z,Ségou
Pierre Dac,1893-08-15T00:00:00Z,Châlons-en-Champagne
Jean-Pierre Sinapi,1949-01-01T00:00:00Z,Cahors
Wladimir Jemeljanowitsch Maximow,1930-11-27T00:00:00Z,Moscou
Alexandre Guinzbourg,1936-11-21T00:00:00Z,Moscou
Jacques Rivette,1928-03-01T00:00:00Z,Rouen
Jérôme Lalande,1732-07-11T00:00:00Z,Bourg-en-Bresse
Irène Némirovsky,1903-02-24T00:00:00Z,Kiev
Jean-Marie Lustiger,1926-09-17T00:00:00Z,12e arrondissement de Paris
Alexandre Dumas fils,1824-07-27T00:00:00Z,ancien 2e arrondissement de Paris
Jean Dubuffet,1901-07-31T00:00:00Z,Le Havre
Robert Desnos,1900-07-04T00:00:00Z,11e arrondissement de Paris
Clément VI,1291-01-01T00:00:00Z,Rosiers-d'Égletons
Pierre Petit,1617-01-01T00:00:00Z,Paris
Georges Cuvier,1769-08-23T00:00:00Z,Montbéliard
Joseph Reinach,1856-09-30T00:00:00Z,Paris
Paul Frère,1917-01-30T00:00:00Z,Le Havre
Julio Cortázar,1914-08-26T00:00:00Z,Bruxelles
Sylvère Lotringer,1938-10-15T00:00:00Z,Paris
Sylvère Lotringer,1938-10-15T00:00:00Z,10ᵉ arrondissement de Paris
Jean de Tournes,1504-01-01T00:00:00Z,Noyon
Marc Levy,1961-10-16T00:00:00Z,Boulogne-Billancourt
Claude de Malleville,1597-01-01T00:00:00Z,Paris
Philippe Néricault Destouches,1680-04-09T00:00:00Z,Tours
Daniel Chamier,1565-01-01T00:00:00Z,Dauphiné
Jean-Marie Balestre,1921-04-09T00:00:00Z,Saint-Rémy-de-Provence
Jean Giono,1895-03-30T00:00:00Z,Manosque
Virginie Ancelot,1792-03-15T00:00:00Z,Dijon
Jean Anouilh,1910-06-23T00:00:00Z,Bordeaux
Bernard Ardura,1948-09-01T00:00:00Z,Bordeaux
Roland Barthes,1915-11-12T00:00:00Z,Cherbourg
Alfred de Musset,1810-12-11T00:00:00Z,Paris
Ismaïl Kadaré,1936-01-28T00:00:00Z,Gjirokastër
Atiq Rahimi,1962-02-26T00:00:00Z,Kaboul
Aristide Briand,1862-03-28T00:00:00Z,Nantes
Érik Izraelewicz,1954-02-06T00:00:00Z,Strasbourg
Moshe ibn Tibbon,1195-01-01T00:00:00Z,Marseille
Charles Fourier,1772-04-07T00:00:00Z,Besançon
Thérèse de Lisieux,1873-01-02T00:00:00Z,Alençon
Jean-Jacques Audubon,1785-04-26T00:00:00Z,Les Cayes
Jean Teulé,1953-02-26T00:00:00Z,Saint-Lô
Théophile Gautier,1811-08-30T00:00:00Z,Tarbes
Gilles Deleuze,1925-01-18T00:00:00Z,17e arrondissement de Paris
Jean Genet,1910-12-19T00:00:00Z,Paris
Jean Genet,1910-12-19T00:00:00Z,6e arrondissement de Paris
Mylène Farmer,1961-09-12T00:00:00Z,Pierrefonds
Jean-Claude Forest,1930-09-11T00:00:00Z,Le Perreux-sur-Marne
Alphonse Karr,1808-11-24T00:00:00Z,Paris
Antonin Artaud,1896-09-04T00:00:00Z,Marseille
Giuseppe Mazzini,1805-06-22T00:00:00Z,Gênes
Alain Ducasse,1956-09-13T00:00:00Z,Orthez
Pierre Plantard,1920-03-18T00:00:00Z,7e arrondissement de Paris
Alphonse de Lamartine,1790-10-21T00:00:00Z,Mâcon
Nicolas Boileau,1636-11-01T00:00:00Z,Paris
Pierre Teilhard de Chardin,1881-05-01T00:00:00Z,château de Sarcenat
Gracchus Babeuf,1760-11-23T00:00:00Z,Saint-Quentin
Benvenuto Cellini,1500-11-11T00:00:00Z,Florence
Claude-Adrien Helvétius,1715-01-26T00:00:00Z,rue Sainte-Anne
Adrien-Marie Legendre,1752-09-18T00:00:00Z,Paris
Q191305,1808-05-22T00:00:00Z,Paris
Q191305,1808-05-22T00:00:00Z,ancien 7e arrondissement de Paris
René Goscinny,1926-08-14T00:00:00Z,5e arrondissement de Paris
Alexeï Nikolaïevitch Tolstoï,1883-01-10T00:00:00Z,Pougatchev
Jean-François Lyotard,1924-08-10T00:00:00Z,Versailles
Frantz Fanon,1925-07-20T00:00:00Z,Fort-de-France
Henri Troyat,1911-11-01T00:00:00Z,Moscou
Benjamin Nicolas Marie Appert,1797-09-10T00:00:00Z,Paris
Q195050,1883-02-16T00:00:00Z,Auxerre
Q195050,1883-02-16T00:00:00Z,maison de Marie Noël
Alexandre Berkman,1870-11-21T00:00:00Z,Vilnius
Jean-Marc Leclercq,1961-10-10T00:00:00Z,Lille
Jules Lemaître,1853-04-27T00:00:00Z,Vennecy
Aurélie Filippetti,1973-06-17T00:00:00Z,Villerupt
Alfred Capus,1857-11-25T00:00:00Z,Aix-en-Provence
Paul Bourget,1852-09-02T00:00:00Z,Amiens
Sibylle Gabrielle Riquetti de Mirabeau,1850-08-15T00:00:00Z,château de Coëtsal
Guillaume de Machaut,1300-01-01T00:00:00Z,Reims
Paul Valéry,1871-10-30T00:00:00Z,Sète
Varian Fry,1907-10-15T00:00:00Z,New York
Alexandre Herzen,1812-04-06T00:00:00Z,Moscou
Nicolas de Condorcet,1743-09-17T00:00:00Z,Ribemont
Dominique Dufour de Pradt,1759-04-23T00:00:00Z,canton d'Allanche
José Corti,1895-01-14T00:00:00Z,Vitry-sur-Seine
Gabriel Bonnot de Mably,1709-03-14T00:00:00Z,Grenoble
Edmond Rostand,1868-04-01T00:00:00Z,Marseille
Q203674,1905-08-09T00:00:00Z,Paris
Antoine de Rivarol,1753-06-26T00:00:00Z,Bagnols-sur-Cèze
Paul Winkler,1898-07-07T00:00:00Z,Budapest
Étienne de Jouy,1764-10-19T00:00:00Z,Versailles
Jean Galbert de Campistron,1656-08-03T00:00:00Z,Toulouse
Jean-Pons-Guillaume Viennet,1777-11-18T00:00:00Z,Béziers
Janri Kachia,1939-05-08T00:00:00Z,Batoumi
Raffaëla Anderson,1976-01-08T00:00:00Z,Montfermeil
Édouard Estaunié,1862-02-04T00:00:00Z,Dijon
Olympe de Gouges,1748-05-07T00:00:00Z,Montauban
Georges Bataille,1897-09-10T00:00:00Z,Billom
Édouard-Félix Guyon,1902-02-24T00:00:00Z,8e arrondissement de Paris
Édouard-Raoul Brygoo,1920-04-22T00:00:00Z,Lille
Nicole Védrès,1911-09-04T00:00:00Z,Paris
Claire Élisabeth de Vergennes,1780-01-05T00:00:00Z,Paris
Valtesse de La Bigne,1848-07-13T00:00:00Z,Paris
Louise Weiss,1893-01-25T00:00:00Z,Arras
Martine Brochard,1944-04-02T00:00:00Z,Neuilly-sur-Seine
Édouard Blau,1836-05-29T00:00:00Z,Blois
Édouard Blau,1836-05-30T00:00:00Z,Blois
Édouard Chavannes,1865-10-05T00:00:00Z,3e arrondissement de Lyon
Édouard Drumont,1844-05-03T00:00:00Z,ancien 2e arrondissement de Paris
Édouard Dujardin,1861-11-10T00:00:00Z,Saint-Gervais-la-Forêt
Édouard Glissant,1928-09-21T00:00:00Z,Sainte-Marie
Édouard Grenier,1819-06-20T00:00:00Z,Baume-les-Dames
Édouard Lefebvre de Laboulaye,1811-01-18T00:00:00Z,ancien 7e arrondissement de Paris
Anne-Sophie Brasme,1984-01-01T00:00:00Z,Metz
Édouard Vaillant,1840-01-29T00:00:00Z,Vierzon
